cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness
21101,787,1835,154,0.52613
21201,788,1830,166,0.563302
21301,816,1884,159,0.513688
21401,779,1772,147,0.576644
21501,742,1814,155,0.574968
21601,776,1841,153,0.538849
21701,746,1794,154,0.54031
21801,772,1830,165,0.578261
21901,778,1846,158,0.533315
22001,766,1855,165,0.563711
22101,813,1794,160,0.57091
22201,825,1897,159,0.544323
22301,746,1775,159,0.565956
22401,790,1842,155,0.550333
22501,781,1864,165,0.547585
22601,759,1891,162,0.571601
22701,765,1853,155,0.543955
22801,783,1830,152,0.552419
22901,734,1845,144,0.564515
23001,826,1853,161,0.548617
23101,776,1874,154,0.551566
23201,797,1874,157,0.534622
23301,784,1842,161,0.56286
23401,773,1806,165,0.54547
23501,788,2002,160,0.524144
23601,760,1939,156,0.553452
23701,791,1881,163,0.539323
23801,794,1909,160,0.552753
23901,772,1950,162,0.565439
24001,817,1886,179,0.563952
24101,798,1838,184,0.566321
24201,787,1843,177,0.539528
24301,801,1913,182,0.557246
24401,786,1865,177,0.532867
24501,816,1901,181,0.554224
24601,775,1901,180,0.574889
24701,808,1875,181,0.583218
24801,820,1933,184,0.54419
24901,863,1862,171,0.557169
25001,872,1989,172,0.545655
25101,815,1983,173,0.537131
25201,807,1929,172,0.560313
25301,803,1897,181,0.555571
25401,811,1918,177,0.544787
25501,843,1960,182,0.551775
25601,819,1954,181,0.561092
25701,837,1959,189,0.555753
25801,783,1839,191,0.589238
25901,784,1912,191,0.558823
26001,818,1972,197,0.53482
26101,798,1963,192,0.565409
26201,840,1954,190,0.568498
26301,809,2001,190,0.556048
26401,834,1963,207,0.555872
26501,840,1991,193,0.552421
26601,865,1936,213,0.565499
26701,846,2061,199,0.560518
26801,796,1946,187,0.582759
26901,860,2163,200,0.530975
27001,858,1979,199,0.568525
27101,835,1999,205,0.576633
27201,836,1968,198,0.537438
27301,832,2001,196,0.569196
27401,859,1934,193,0.577177
27501,779,1948,207,0.537716
27601,830,1973,205,0.555623
27701,831,1986,201,0.538601
27801,840,1972,193,0.541459
27901,850,1992,199,0.540545
28001,857,2013,194,0.566501
28101,861,2026,200,0.566862
28201,841,1956,189,0.549008
28301,860,1924,200,0.56932
28401,867,2020,209,0.548502
28501,841,1959,201,0.567763
28601,825,1953,209,0.571825
28701,873,2010,216,0.531227
28801,843,1898,198,0.563493
28901,813,2014,199,0.573498
29001,827,1954,211,0.549554
29101,857,2020,215,0.560803
29201,850,1940,204,0.576397
29301,862,2014,207,0.554122
29401,842,2035,211,0.551493
29501,850,2014,217,0.553397
29601,896,2033,215,0.532823
29701,878,2100,211,0.551624
29801,881,2069,215,0.55569
29901,874,2091,217,0.568943
30001,882,2036,220,0.531752
30101,893,2063,217,0.562362
30201,864,2049,230,0.554104
30301,829,2017,210,0.546326
30401,854,2102,216,0.551729
30501,889,2093,205,0.568395
30601,843,2112,203,0.553103
30701,856,2051,215,0.535349
30801,838,2005,206,0.573154
30901,848,2181,214,0.531765
31001,856,2101,214,0.551235
31101,838,2026,224,0.554239
31201,851,2071,218,0.546542
